# IBD cross section (10^-38 cm^2/GeV) #   From Strumia & Vissani astro-ph/0302055v2
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 
 

-1.81456  0 0 0 0.10815 0 0 
-1.81226  0 0 0 0.108778 0 0 
-1.80996  0 0 0 0.109416 0 0 
-1.80766  0 0 0 0.110065 0 0 
-1.80536  0 0 0 0.110722 0 0 
-1.80306  0 0 0 0.111388 0 0 
-1.80076  0 0 0 0.112062 0 0 
-1.79846  0 0 0 0.112743 0 0 
-1.79616  0 0 0 0.11343 0 0 
-1.79386  0 0 0 0.114122 0 0 
-1.79155  0 0 0 0.11482 0 0 
-1.78925  0 0 0 0.115521 0 0 
-1.78695  0 0 0 0.116226 0 0 
-1.78465  0 0 0 0.116934 0 0 
-1.78235  0 0 0 0.117643 0 0 
-1.78005  0 0 0 0.118354 0 0 
-1.77775  0 0 0 0.119065 0 0 
-1.77545  0 0 0 0.119776 0 0 
-1.77315  0 0 0 0.120485 0 0 
-1.77085  0 0 0 0.121192 0 0 
-1.76854  0 0 0 0.121897 0 0 
-1.76624  0 0 0 0.122598 0 0 
-1.76394  0 0 0 0.123295 0 0 
-1.76164  0 0 0 0.123988 0 0 
-1.75934  0 0 0 0.124678 0 0 
-1.75704  0 0 0 0.125366 0 0 
-1.75474  0 0 0 0.12605 0 0 
-1.75244  0 0 0 0.126733 0 0 
-1.75014  0 0 0 0.127413 0 0 
-1.74783  0 0 0 0.128092 0 0 
-1.74553  0 0 0 0.12877 0 0 
-1.74323  0 0 0 0.129447 0 0 
-1.74093  0 0 0 0.130124 0 0 
-1.73863  0 0 0 0.130801 0 0 
-1.73633  0 0 0 0.131478 0 0 
-1.73403  0 0 0 0.132155 0 0 
-1.73173  0 0 0 0.132834 0 0 
-1.72943  0 0 0 0.133514 0 0 
-1.72713  0 0 0 0.134197 0 0 
-1.72482  0 0 0 0.134881 0 0 
-1.72252  0 0 0 0.135568 0 0 
-1.72022  0 0 0 0.136258 0 0 
-1.71792  0 0 0 0.136952 0 0 
-1.71562  0 0 0 0.137649 0 0 
-1.71332  0 0 0 0.13835 0 0 
-1.71102  0 0 0 0.139056 0 0 
-1.70872  0 0 0 0.139765 0 0 
-1.70642  0 0 0 0.140479 0 0 
-1.70412  0 0 0 0.141198 0 0 
-1.70181  0 0 0 0.141921 0 0 
-1.69951  0 0 0 0.142649 0 0 
-1.69721  0 0 0 0.143382 0 0 
-1.69491  0 0 0 0.144121 0 0 
-1.69261  0 0 0 0.144865 0 0 
-1.69031  0 0 0 0.145615 0 0 
-1.68801  0 0 0 0.14637 0 0 
-1.68571  0 0 0 0.147131 0 0 
-1.68341  0 0 0 0.147899 0 0 
-1.6811  0 0 0 0.148672 0 0 
-1.6788  0 0 0 0.149453 0 0 
-1.6765  0 0 0 0.15024 0 0 
-1.6742  0 0 0 0.151033 0 0 
-1.6719  0 0 0 0.151834 0 0 
-1.6696  0 0 0 0.152643 0 0 
-1.6673  0 0 0 0.153458 0 0 
-1.665  0 0 0 0.154279 0 0 
-1.6627  0 0 0 0.155106 0 0 
-1.6604  0 0 0 0.155938 0 0 
-1.65809  0 0 0 0.156775 0 0 
-1.65579  0 0 0 0.157615 0 0 
-1.65349  0 0 0 0.15846 0 0 
-1.65119  0 0 0 0.159306 0 0 
-1.64889  0 0 0 0.160155 0 0 
-1.64659  0 0 0 0.161006 0 0 
-1.64429  0 0 0 0.161857 0 0 
-1.64199  0 0 0 0.162709 0 0 
-1.63969  0 0 0 0.16356 0 0 
-1.63739  0 0 0 0.16441 0 0 
-1.63508  0 0 0 0.165259 0 0 
-1.63278  0 0 0 0.166105 0 0 
-1.63048  0 0 0 0.166948 0 0 
-1.62818  0 0 0 0.167787 0 0 
-1.62588  0 0 0 0.168622 0 0 
-1.62358  0 0 0 0.169452 0 0 
-1.62128  0 0 0 0.170277 0 0 
-1.61898  0 0 0 0.171098 0 0 
-1.61668  0 0 0 0.171915 0 0 
-1.61438  0 0 0 0.172729 0 0 
-1.61207  0 0 0 0.17354 0 0 
-1.60977  0 0 0 0.174351 0 0 
-1.60747  0 0 0 0.17516 0 0 
-1.60517  0 0 0 0.175969 0 0 
-1.60287  0 0 0 0.176779 0 0 
-1.60057  0 0 0 0.17759 0 0 
-1.59827  0 0 0 0.178404 0 0 
-1.59597  0 0 0 0.17922 0 0 
-1.59367  0 0 0 0.18004 0 0 
-1.59136  0 0 0 0.180865 0 0 
-1.58906  0 0 0 0.181695 0 0 
-1.58676  0 0 0 0.182531 0 0 
-1.58446  0 0 0 0.183374 0 0 
-1.58216  0 0 0 0.184224 0 0 
-1.57986  0 0 0 0.185083 0 0 
-1.57756  0 0 0 0.185952 0 0 
-1.57526  0 0 0 0.18683 0 0 
-1.57296  0 0 0 0.187719 0 0 
-1.57066  0 0 0 0.188618 0 0 
-1.56835  0 0 0 0.189526 0 0 
-1.56605  0 0 0 0.190443 0 0 
-1.56375  0 0 0 0.191368 0 0 
-1.56145  0 0 0 0.1923 0 0 
-1.55915  0 0 0 0.193239 0 0 
-1.55685  0 0 0 0.194184 0 0 
-1.55455  0 0 0 0.195135 0 0 
-1.55225  0 0 0 0.19609 0 0 
-1.54995  0 0 0 0.19705 0 0 
-1.54765  0 0 0 0.198013 0 0 
-1.54534  0 0 0 0.198978 0 0 
-1.54304  0 0 0 0.199946 0 0 
-1.54074  0 0 0 0.200916 0 0 
-1.53844  0 0 0 0.201886 0 0 
-1.53614  0 0 0 0.202855 0 0 
-1.53384  0 0 0 0.203825 0 0 
-1.53154  0 0 0 0.204792 0 0 
-1.52924  0 0 0 0.205758 0 0 
-1.52694  0 0 0 0.206721 0 0 
-1.52463  0 0 0 0.207681 0 0 
-1.52233  0 0 0 0.208639 0 0 
-1.52003  0 0 0 0.209596 0 0 
-1.51773  0 0 0 0.210551 0 0 
-1.51543  0 0 0 0.211506 0 0 
-1.51313  0 0 0 0.21246 0 0 
-1.51083  0 0 0 0.213414 0 0 
-1.50853  0 0 0 0.214369 0 0 
-1.50623  0 0 0 0.215324 0 0 
-1.50393  0 0 0 0.216281 0 0 
-1.50162  0 0 0 0.21724 0 0 
-1.49932  0 0 0 0.218201 0 0 
-1.49702  0 0 0 0.219165 0 0 
-1.49472  0 0 0 0.220131 0 0 
-1.49242  0 0 0 0.221102 0 0 
-1.49012  0 0 0 0.222076 0 0 
-1.48782  0 0 0 0.223056 0 0 
-1.48552  0 0 0 0.22404 0 0 
-1.48322  0 0 0 0.225029 0 0 
-1.48092  0 0 0 0.226025 0 0 
-1.47861  0 0 0 0.227027 0 0 
-1.47631  0 0 0 0.228034 0 0 
-1.47401  0 0 0 0.229047 0 0 
-1.47171  0 0 0 0.230064 0 0 
-1.46941  0 0 0 0.231085 0 0 
-1.46711  0 0 0 0.232109 0 0 
-1.46481  0 0 0 0.233136 0 0 
-1.46251  0 0 0 0.234165 0 0 
-1.46021  0 0 0 0.235197 0 0 
-1.4579  0 0 0 0.236229 0 0 
-1.4556  0 0 0 0.237262 0 0 
-1.4533  0 0 0 0.238294 0 0 
-1.451  0 0 0 0.239326 0 0 
-1.4487  0 0 0 0.240357 0 0 
-1.4464  0 0 0 0.241386 0 0 
-1.4441  0 0 0 0.242412 0 0 
-1.4418  0 0 0 0.243436 0 0 
-1.4395  0 0 0 0.244455 0 0 
-1.4372  0 0 0 0.24547 0 0 
-1.43489  0 0 0 0.24648 0 0 
-1.43259  0 0 0 0.247485 0 0 
-1.43029  0 0 0 0.248484 0 0 
-1.42799  0 0 0 0.249478 0 0 
-1.42569  0 0 0 0.250468 0 0 
-1.42339  0 0 0 0.251454 0 0 
-1.42109  0 0 0 0.252437 0 0 
-1.41879  0 0 0 0.253418 0 0 
-1.41649  0 0 0 0.254397 0 0 
-1.41419  0 0 0 0.255374 0 0 
-1.41188  0 0 0 0.256352 0 0 
-1.40958  0 0 0 0.257329 0 0 
-1.40728  0 0 0 0.258308 0 0 
-1.40498  0 0 0 0.259287 0 0 
-1.40268  0 0 0 0.260269 0 0 
-1.40038  0 0 0 0.261254 0 0 
-1.39808  0 0 0 0.262243 0 0 
-1.39578  0 0 0 0.263235 0 0 
-1.39348  0 0 0 0.264233 0 0 
-1.39118  0 0 0 0.265236 0 0 
-1.38887  0 0 0 0.266246 0 0 
-1.38657  0 0 0 0.267262 0 0 
-1.38427  0 0 0 0.268287 0 0 
-1.38197  0 0 0 0.26932 0 0 
-1.37967  0 0 0 0.270361 0 0 
-1.37737  0 0 0 0.271413 0 0 
-1.37507  0 0 0 0.272474 0 0 
-1.37277  0 0 0 0.273546 0 0 
-1.37047  0 0 0 0.274629 0 0 
-1.36816  0 0 0 0.275724 0 0 
-1.36586  0 0 0 0.276831 0 0 
-1.36356  0 0 0 0.27795 0 0 
-1.36126  0 0 0 0.279084 0 0 
-1.35896  0 0 0 0.28023 0 0 
-1.35666  0 0 0 0.281389 0 0 
-1.35436  0 0 0 0.282559 0 0 
-1.35206  0 0 0 0.28374 0 0 
-1.34976  0 0 0 0.284929 0 0 
-1.34746  0 0 0 0.286126 0 0 
-1.34515  0 0 0 0.28733 0 0 
-1.34285  0 0 0 0.28854 0 0 
-1.34055  0 0 0 0.289754 0 0 
-1.33825  0 0 0 0.290971 0 0 
-1.33595  0 0 0 0.292191 0 0 
-1.33365  0 0 0 0.293412 0 0 
-1.33135  0 0 0 0.294632 0 0 
-1.32905  0 0 0 0.295851 0 0 
-1.32675  0 0 0 0.297068 0 0 
-1.32445  0 0 0 0.29828 0 0 
-1.32214  0 0 0 0.299488 0 0 
-1.31984  0 0 0 0.300688 0 0 
-1.31754  0 0 0 0.301882 0 0 
-1.31524  0 0 0 0.303066 0 0 
-1.31294  0 0 0 0.30424 0 0 
-1.31064  0 0 0 0.305404 0 0 
-1.30834  0 0 0 0.306558 0 0 
-1.30604  0 0 0 0.307704 0 0 
-1.30374  0 0 0 0.308841 0 0 
-1.30143  0 0 0 0.30997 0 0 
-1.29913  0 0 0 0.311092 0 0 
-1.29683  0 0 0 0.312207 0 0 
-1.29453  0 0 0 0.313316 0 0 
-1.29223  0 0 0 0.31442 0 0 
-1.28993  0 0 0 0.315519 0 0 
-1.28763  0 0 0 0.316615 0 0 
-1.28533  0 0 0 0.317706 0 0 
-1.28303  0 0 0 0.318795 0 0 
-1.28073  0 0 0 0.319882 0 0 
-1.27842  0 0 0 0.320967 0 0 
-1.27612  0 0 0 0.322052 0 0 
-1.27382  0 0 0 0.323136 0 0 
-1.27152  0 0 0 0.324221 0 0 
-1.26922  0 0 0 0.325308 0 0 
-1.26692  0 0 0 0.326396 0 0 
-1.26462  0 0 0 0.327486 0 0 
-1.26232  0 0 0 0.328579 0 0 
-1.26002  0 0 0 0.329674 0 0 
-1.25772  0 0 0 0.330771 0 0 
-1.25541  0 0 0 0.331869 0 0 
-1.25311  0 0 0 0.332969 0 0 
-1.25081  0 0 0 0.334071 0 0 
-1.24851  0 0 0 0.335173 0 0 
-1.24621  0 0 0 0.336277 0 0 
-1.24391  0 0 0 0.337381 0 0 
-1.24161  0 0 0 0.338486 0 0 
-1.23931  0 0 0 0.339592 0 0 
-1.23701  0 0 0 0.340698 0 0 
-1.23471  0 0 0 0.341804 0 0 
-1.2324  0 0 0 0.34291 0 0 
-1.2301  0 0 0 0.344015 0 0 
-1.2278  0 0 0 0.34512 0 0 
-1.2255  0 0 0 0.346225 0 0 
-1.2232  0 0 0 0.347329 0 0 
-1.2209  0 0 0 0.348432 0 0 
-1.2186  0 0 0 0.349533 0 0 
-1.2163  0 0 0 0.350633 0 0 
-1.214  0 0 0 0.351733 0 0 
-1.21169  0 0 0 0.352831 0 0 
-1.20939  0 0 0 0.353929 0 0 
-1.20709  0 0 0 0.355027 0 0 
-1.20479  0 0 0 0.356124 0 0 
-1.20249  0 0 0 0.357221 0 0 
-1.20019  0 0 0 0.358319 0 0 
-1.19789  0 0 0 0.359416 0 0 
-1.19559  0 0 0 0.360514 0 0 
-1.19329  0 0 0 0.361613 0 0 
-1.19099  0 0 0 0.362713 0 0 
-1.18868  0 0 0 0.363814 0 0 
-1.18638  0 0 0 0.364916 0 0 
-1.18408  0 0 0 0.36602 0 0 
-1.18178  0 0 0 0.367126 0 0 
-1.17948  0 0 0 0.368233 0 0 
-1.17718  0 0 0 0.369343 0 0 
-1.17488  0 0 0 0.370455 0 0 
-1.17258  0 0 0 0.37157 0 0 
-1.17028  0 0 0 0.372687 0 0 
-1.16798  0 0 0 0.373807 0 0 
-1.16567  0 0 0 0.374929 0 0 
-1.16337  0 0 0 0.376053 0 0 
-1.16107  0 0 0 0.377178 0 0 
-1.15877  0 0 0 0.378303 0 0 
-1.15647  0 0 0 0.37943 0 0 
-1.15417  0 0 0 0.380556 0 0 
-1.15187  0 0 0 0.381683 0 0 
-1.14957  0 0 0 0.382808 0 0 
-1.14727  0 0 0 0.383933 0 0 
-1.14496  0 0 0 0.385056 0 0 
-1.14266  0 0 0 0.386177 0 0 
-1.14036  0 0 0 0.387295 0 0 
-1.13806  0 0 0 0.388411 0 0 
-1.13576  0 0 0 0.389523 0 0 
-1.13346  0 0 0 0.390632 0 0 
-1.13116  0 0 0 0.391736 0 0 
-1.12886  0 0 0 0.392835 0 0 
-1.12656  0 0 0 0.39393 0 0 
-1.12426  0 0 0 0.395019 0 0 
-1.12195  0 0 0 0.396102 0 0 
-1.11965  0 0 0 0.397179 0 0 
-1.11735  0 0 0 0.398251 0 0 
-1.11505  0 0 0 0.399317 0 0 
-1.11275  0 0 0 0.400378 0 0 
-1.11045  0 0 0 0.401434 0 0 
-1.10815  0 0 0 0.402485 0 0 
-1.10585  0 0 0 0.403531 0 0 
-1.10355  0 0 0 0.404573 0 0 
-1.10125  0 0 0 0.40561 0 0 
-1.09894  0 0 0 0.406642 0 0 
-1.09664  0 0 0 0.407671 0 0 
-1.09434  0 0 0 0.408696 0 0 
-1.09204  0 0 0 0.409717 0 0 
-1.08974  0 0 0 0.410734 0 0 
-1.08744  0 0 0 0.411748 0 0 
-1.08514  0 0 0 0.412758 0 0 
-1.08284  0 0 0 0.413766 0 0 
-1.08054  0 0 0 0.41477 0 0 
-1.07824  0 0 0 0.415772 0 0 
-1.07593  0 0 0 0.416772 0 0 
-1.07363  0 0 0 0.417768 0 0 
-1.07133  0 0 0 0.418762 0 0 
-1.06903  0 0 0 0.419752 0 0 
-1.06673  0 0 0 0.420738 0 0 
-1.06443  0 0 0 0.42172 0 0 
-1.06213  0 0 0 0.422698 0 0 
-1.05983  0 0 0 0.423671 0 0 
-1.05753  0 0 0 0.424638 0 0 
-1.05522  0 0 0 0.4256 0 0 
-1.05292  0 0 0 0.426556 0 0 
-1.05062  0 0 0 0.427506 0 0 
-1.04832  0 0 0 0.428449 0 0 
-1.04602  0 0 0 0.429385 0 0 
-1.04372  0 0 0 0.430313 0 0 
-1.04142  0 0 0 0.431234 0 0 
-1.03912  0 0 0 0.432146 0 0 
-1.03682  0 0 0 0.43305 0 0 
-1.03452  0 0 0 0.433944 0 0 
-1.03221  0 0 0 0.434829 0 0 
-1.02991  0 0 0 0.435703 0 0 
-1.02761  0 0 0 0.436568 0 0 
-1.02531  0 0 0 0.437422 0 0 
-1.02301  0 0 0 0.438267 0 0 
-1.02071  0 0 0 0.439101 0 0 
-1.01841  0 0 0 0.439927 0 0 
-1.01611  0 0 0 0.440743 0 0 
-1.01381  0 0 0 0.441551 0 0 
-1.01151  0 0 0 0.44235 0 0 
-1.0092  0 0 0 0.443142 0 0 
-1.0069  0 0 0 0.443925 0 0 
-1.0046  0 0 0 0.444701 0 0 
-1.0023  0 0 0 0.44547 0 0 
-1  0 0 0 0.446231 0 0 
